x,linear,linear_derivative,sigmoid,sigmoid_derivative,tanh,tanh_derivative,relu,relu_derivative,leaky_relu,leaky_relu_derivative,elu,elu_derivative,gelu,gelu_derivative_numeric
-1.0749999999999997,-1.0749999999999997,1.0,0.2544533858735974,0.18970686029105954,-0.7913375537619973,0.373784876005978,0.0,0.0,-0.010749999999999997,0.01,-0.6587022446990063,0.34129775530099377,-0.15195472495718357,-0.09906139047787788
-1.0499999999999998,-1.0499999999999998,1.0,0.25922510081784605,0.1920274479238236,-0.781806357608774,0.3887788192025017,0.0,0.0,-0.010499999999999999,0.01,-0.6500622508888445,0.34993774911115544,-0.15437202334938308,-0.09410764755680479
-1.025,-1.025,1.0,0.2640546060728515,0.19432977108456273,-0.7718952374404182,0.4041777424168004,0.0,0.0,-0.010249999999999999,0.01,-0.6412035345940483,0.3587964654059516,-0.1566601073350238,-0.08871972084680468
-1.0,-1.0,1.0,0.2689414213699951,0.19661193324148185,-0.7615941559557649,0.41997434161402614,0.0,0.0,-0.01,0.01,-0.6321205588285577,0.36787944117144233,-0.1588080093917233,-0.08288891077828353
-0.9749999999999996,-0.9749999999999996,1.0,0.27388501873922094,0.1988720152494375,-0.7508932836251669,0.4361592766066146,0.0,0.0,-0.009749999999999997,0.01,-0.6228076464368429,0.37719235356315706,-0.160804552873938,-0.07660720963832857
-0.9500000000000002,-0.9500000000000002,1.0,0.2788848219771369,0.20110807804791753,-0.7397830512740043,0.4527210370477238,0.0,0.0,-0.009500000000000001,0.01,-0.6132589765454989,0.3867410234545011,-0.16263836987363972,-0.06986734609029899
-0.9249999999999998,-0.9249999999999998,1.0,0.2839402061842902,0.20331816549631299,-0.7282542059818113,0.46964581146980144,0.0,0.0,-0.009249999999999998,0.01,-0.6034685809250071,0.39653141907499295,-0.16429792017845293,-0.06266282833279435
-0.8999999999999995,-0.8999999999999995,1.0,0.2890504973749961,0.2055003073422635,-0.7162978701990241,0.48691736114834194,0.0,0.0,-0.008999999999999994,0.01,-0.5934303402594007,0.40656965974059933,-0.16577151129027948,-0.0549879856618416
-0.875,-0.875,1.0,0.29421497216298875,0.2076525223181205,-0.703905603936621,0.5045169007466208,0.0,0.0,-0.00875,0.01,-0.5831379803214916,0.4168620196785084,-0.167047319461545,-0.04683800820155293
-0.8499999999999996,-0.8499999999999996,1.0,0.2994328575260271,0.20977282135982506,-0.6910694698329304,0.5224229878648325,0.0,0.0,-0.008499999999999997,0.01,-0.5725850680512732,0.4274149319487268,-0.1681134117003571,-0.0382089845715301
-0.8250000000000002,-0.8250000000000002,1.0,0.3047033306524346,0.2118592109417477,-0.6777821008468297,0.540611423771658,0.0,0.0,-0.008250000000000002,0.01,-0.5617650075350509,0.4382349924649492,-0.1689577686901215,-0.029097937263897755
-0.7999999999999998,-0.7999999999999998,1.0,0.31002551887238755,0.21390969652029443,-0.6640367702678489,0.5590551677322441,0.0,0.0,-0.007999999999999998,0.01,-0.5506710358827783,0.4493289641172217,-0.16956830856355196,-0.019502855508993555
-0.7749999999999995,-0.7749999999999995,1.0,0.31539849967656935,0.21592228607833847,-0.64982746367192,0.5777242674577194,0.0,0.0,-0.007749999999999995,0.01,-0.539296219001034,0.4607037809989661,-0.16993291146557118,-0.009422725416554645
-0.75,-0.75,1.0,0.320821300824607,0.21789499376181404,-0.6351489523872873,0.5965858082813315,0.0,0.0,-0.0075,0.01,-0.5276334472589853,0.4723665527410147,-0.17003944483437972,0.0011424428115263119
-0.7249999999999996,-0.7249999999999996,1.0,0.32629290054547866,0.21982584359909704,-0.6199968679693738,0.6156038837081669,0.0,0.0,-0.007249999999999997,0.01,-0.5156754310446374,0.48432456895536263,-0.16987578932499486,0.012191590789929485
-0.7000000000000002,-0.7000000000000002,1.0,0.33181222783183384,0.22171287329310904,-0.6043677771171636,0.6347395899824584,0.0,0.0,-0.007000000000000002,0.01,-0.5034146962085906,0.4965853037914094,-0.16942986529488327,0.023722591160889817
-0.6749999999999998,-0.6749999999999998,1.0,0.33737816282991756,0.2235541380754272,-0.5882592563981052,0.6539510472619483,0.0,0.0,-0.006749999999999998,0.01,-0.4908435793924507,0.5091564206075493,-0.16868965976695036,0.035732230274583276
-0.6499999999999995,-0.6499999999999995,1.0,0.34298953732650134,0.2253477146110539,-0.5716699660851169,0.6731934498762413,0.0,0.0,-0.0064999999999999945,0.01,-0.4779542232389836,0.5220457767610164,-0.16764325378115408,0.048216194491017994
-0.625,-0.625,1.0,0.34864513533394575,0.22709170494192044,-0.5545997223493823,0.6924191479699882,0.0,0.0,-0.00625,0.01,-0.4647385714810097,0.5352614285189903,-0.16627885004239948,0.06116906023937707
-0.5999999999999996,-0.5999999999999996,1.0,0.35434369377420466,0.22878424045665735,-0.537049566998035,0.7115777625872232,0.0,0.0,-0.005999999999999997,0.01,-0.4511883639059734,0.5488116360940266,-0.16458480076918522,0.07458428795339955
-0.5750000000000002,-0.5750000000000002,1.0,0.3600839032622658,0.230423485873677,-0.5190218338982222,0.7306163359369262,0.0,0.0,-0.005750000000000002,0.01,-0.4372951311930444,0.5627048688069556,-0.16254963564472952,0.08845421998307712
-0.5499999999999998,-0.5499999999999998,1.0,0.36586440898919936,0.2320076432241832,-0.500520211190235,0.7494795181900825,0.0,0.0,-0.005499999999999998,0.01,-0.42305018961951324,0.5769498103804868,-0.16016208977003135,0.10277008256372389
-0.5249999999999995,-0.5249999999999995,1.0,0.3716838117046339,0.23353495582134812,-0.48154979836430756,0.7681097916952947,0.0,0.0,-0.005249999999999995,0.01,-0.40844463563318456,0.5915553643668154,-0.15741113151654323,0.11752199190350687
-0.5,-0.5,1.0,0.3775406687981454,0.2350037122015945,-0.46211715726000974,0.7864477329659274,0.0,0.0,-0.005,0.01,-0.3934693402873666,0.6065306597126334,-0.15428599017485606,0.13269896442994167
-0.47499999999999964,-0.47499999999999964,1.0,0.3834334954786808,0.23641225002368127,-0.4422303560457259,0.8044323121916706,0.0,0.0,-0.004749999999999996,0.01,-0.37811494353497965,0.6218850564650203,-0.15077618329504616,0.1482889312148168
-0.4500000000000002,-0.4500000000000002,1.0,0.38936076605077796,0.2377589599111293,-0.42189900525000806,0.8220012293690537,0.0,0.0,-0.004500000000000002,0.01,-0.3623718483782268,0.6376281516217732,-0.14687154361411525,0.1642787565755457
-0.4249999999999998,-0.4249999999999998,1.0,0.39532091528599067,0.23904228922343726,-0.40113428494794573,0.8390912854393002,0.0,0.0,-0.004249999999999999,0.01,-0.3462302148701526,0.6537697851298474,-0.1425622454662689,0.18065426082942837
-0.39999999999999947,-0.39999999999999947,1.0,0.40131233988754816,0.24026074574152917,-0.3799489622552244,0.855638786081178,0.0,0.0,-0.003999999999999995,0.01,-0.32967995396436034,0.6703200460356397,-0.1378388305726437,0.1974002471556111
-0.375,-0.375,1.0,0.40733340004593027,0.2414129012529524,-0.35835739835078595,0.8715799750472562,0.0,0.0,-0.00375,0.01,-0.31271072120902776,0.6872892787909722,-0.13269223310848838,0.21450053249801027
-0.34999999999999964,-0.34999999999999964,1.0,0.41338242108267004,0.24249739502250015,-0.3363755443363319,0.8868514931724364,0.0,0.0,-0.0034999999999999966,0.01,-0.29531191028128634,0.7046880897187137,-0.12711380394774321,0.23193798242116914
-0.3250000000000002,-0.3250000000000002,1.0,0.41945769517934034,0.24351293713417596,-0.3140209253469977,0.9013908584442153,0.0,0.0,-0.003250000000000002,0.01,-0.2774726463579279,0.7225273536420721,-0.12109533398742997,0.24969454981005068
-0.2999999999999998,-0.2999999999999998,1.0,0.4255574831883411,0.2444583116907459,-0.29131261245159074,0.9151369618266293,0.0,0.0,-0.0029999999999999983,0.01,-0.259181779318282,0.740818220681718,-0.1146290764572407,0.26775131728440327
-0.27499999999999947,-0.27499999999999947,1.0,0.4316800165217521,0.24533237985753195,-0.2682711820216009,0.9280305728967331,0.0,0.0,-0.0027499999999999946,0.01,-0.24042787677503108,0.7595721232249689,-0.1077077681232096,0.2860885431785154
-0.25,-0.25,1.0,0.43782349911420193,0.24613408273759835,-0.24491866240370913,0.940014848806378,0.0,0.0,-0.0025,0.01,-0.22119921692859512,0.7788007830714049,-0.100324649298315,0.3046857109181629
-0.22499999999999964,-0.22499999999999964,1.0,0.44398610945538014,0.24686244406605537,-0.22127846789844363,0.9510358396445174,0.0,0.0,-0.0022499999999999964,0.01,-0.20148378124062272,0.7985162187593773,-0.0924734825773015,0.3235215816084256
-0.1999999999999993,-0.1999999999999993,1.0,0.4501660026875223,0.24751657271186,-0.1973753202249033,0.9610429829661169,0.0,0.0,-0.001999999999999993,0.01,-0.1812692469220175,0.8187307530779825,-0.08414857021789349,0.3425742496288515
-0.17499999999999982,-0.17499999999999982,1.0,0.4563613127629212,0.24809566497622443,-0.17323515783465993,0.9699895800900005,0.0,0.0,-0.0017499999999999983,0.01,-0.16054297923079253,0.8394570207692075,-0.075344770095859,0.3618212010163968
-0.14999999999999947,-0.14999999999999947,1.0,0.46257015465625057,0.24859900667754298,-0.14888503362331745,0.9778332467629837,0.0,0.0,-0.0014999999999999946,0.01,-0.13929202357494175,0.8607079764250583,-0.0660575101670737,0.38123937440164957
-0.125,-0.125,1.0,0.46879062662624377,0.24902597501361745,-0.12435300177159621,0.9845363309503934,0.0,0.0,-0.00125,0.01,-0.11750309741540454,0.8824969025845955,-0.05628280137577661,0.4008052242501814
-0.09999999999999964,-0.09999999999999964,1.0,0.4750208125210601,0.24937604019289197,-0.09966799462495547,0.9900662908474398,0.0,0.0,-0.0009999999999999966,0.01,-0.09516258196404015,0.9048374180359599,-0.04601724895456469,0.4204947861485767
-0.07499999999999929,-0.07499999999999929,1.0,0.4812587841214649,0.24964876682739418,-0.0748596906874984,0.994396026710172,0.0,0.0,-0.0007499999999999929,0.01,-0.07225651367144648,0.9277434863285535,-0.03525806206834748,0.4402837438637375
-0.04999999999999982,-0.04999999999999982,1.0,0.48750260351578967,0.24984381508111644,-0.049958374957879796,0.9975041607715679,0.0,0.0,-0.0004999999999999983,0.01,-0.04877057549928587,0.9512294245007141,-0.024003061761377908,0.46014749789461695
-0.024999999999999467,-0.024999999999999467,1.0,0.49375032550048975,0.24996094156865015,-0.024994792968420155,0.9993752603244658,0.0,0.0,-0.0002499999999999947,0.01,-0.02469008797166683,0.9753099120283332,-0.012250687173616695,0.4800612352275602
0.0,0.0,1.0,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.5
0.025000000000000355,0.025000000000000355,1.0,0.5062496744995105,0.24996094156865017,0.024994792968421043,0.9993752603244658,0.025000000000000355,1.0,0.025000000000000355,1.0,0.025000000000000355,1.0,0.012749312826383233,0.5199387647724404
0.05000000000000071,0.05000000000000071,1.0,0.5124973964842106,0.24984381508111644,0.04995837495788068,0.9975041607715678,0.05000000000000071,1.0,0.05000000000000071,1.0,0.05000000000000071,1.0,0.02599693823862239,0.5398525021053838
0.07500000000000018,0.07500000000000018,1.0,0.5187412158785353,0.24964876682739415,0.07485969068749927,0.9943960267101719,0.07500000000000018,1.0,0.07500000000000018,1.0,0.07500000000000018,1.0,0.03974193793165231,0.5597162561362632
0.10000000000000053,0.10000000000000053,1.0,0.5249791874789401,0.24937604019289197,0.09966799462495635,0.9900662908474397,0.10000000000000053,1.0,0.10000000000000053,1.0,0.10000000000000053,1.0,0.05398275104543547,0.579505213851424
0.125,0.125,1.0,0.5312093733737563,0.24902597501361748,0.12435300177159621,0.9845363309503934,0.125,1.0,0.125,1.0,0.125,1.0,0.06871719862422339,0.5991947757498188
0.15000000000000036,0.15000000000000036,1.0,0.5374298453437497,0.24859900667754298,0.1488850336233183,0.9778332467629833,0.15000000000000036,1.0,0.15000000000000036,1.0,0.15000000000000036,1.0,0.08394248983292632,0.6187606255983511
0.1750000000000007,0.1750000000000007,1.0,0.5436386872370791,0.2480956649762244,0.17323515783466079,0.9699895800900001,0.1750000000000007,1.0,0.1750000000000007,1.0,0.1750000000000007,1.0,0.09965522990414138,0.6381787989836043
0.20000000000000018,0.20000000000000018,1.0,0.549833997312478,0.24751657271185995,0.19737532022490417,0.9610429829661166,0.20000000000000018,1.0,0.20000000000000018,1.0,0.20000000000000018,1.0,0.1158514297821064,0.6574257503711489
0.22500000000000053,0.22500000000000053,1.0,0.55601389054462,0.24686244406605531,0.22127846789844446,0.9510358396445171,0.22500000000000053,1.0,0.22500000000000053,1.0,0.22500000000000053,1.0,0.13252651742269875,0.6764784183915746
0.25,0.25,1.0,0.5621765008857981,0.24613408273759835,0.24491866240370913,0.940014848806378,0.25,1.0,0.25,1.0,0.25,1.0,0.149675350701685,0.6953142890818373
0.27500000000000036,0.27500000000000036,1.0,0.5683199834782481,0.2453323798575319,0.2682711820216017,0.9280305728967326,0.27500000000000036,1.0,0.27500000000000036,1.0,0.27500000000000036,1.0,0.1672922318767905,0.7139114568214855
0.3000000000000007,0.3000000000000007,1.0,0.5744425168116591,0.24445831169074583,0.29131261245159157,0.9151369618266288,0.3000000000000007,1.0,0.3000000000000007,1.0,0.3000000000000007,1.0,0.18537092354275977,0.7322486827155976
0.3250000000000002,0.3250000000000002,1.0,0.5805423048206597,0.24351293713417593,0.3140209253469977,0.9013908584442153,0.3250000000000002,1.0,0.3250000000000002,1.0,0.3250000000000002,1.0,0.2039046660125702,0.750305450189948
0.35000000000000053,0.35000000000000053,1.0,0.5866175789173301,0.2424973950225001,0.3363755443363327,0.8868514931724358,0.35000000000000053,1.0,0.35000000000000053,1.0,0.35000000000000053,1.0,0.2228861960522571,0.7680620175788313
0.375,0.375,1.0,0.5926665999540697,0.24141290125295242,0.35835739835078595,0.8715799750472562,0.375,1.0,0.375,1.0,0.375,1.0,0.24230776689151162,0.7854994675019897
0.40000000000000036,0.40000000000000036,1.0,0.5986876601124521,0.24026074574152914,0.3799489622552252,0.8556387860811775,0.40000000000000036,1.0,0.40000000000000036,1.0,0.40000000000000036,1.0,0.26216116942735646,0.8025997528443893
0.4250000000000007,0.4250000000000007,1.0,0.6046790847140094,0.23904228922343723,0.4011342849479465,0.8390912854392997,0.4250000000000007,1.0,0.4250000000000007,1.0,0.4250000000000007,1.0,0.28243775453373166,0.819345739170573
0.4500000000000002,0.4500000000000002,1.0,0.610639233949222,0.2377589599111293,0.42189900525000806,0.8220012293690537,0.4500000000000002,1.0,0.4500000000000002,1.0,0.4500000000000002,1.0,0.3031284563858849,0.8357212434244552
0.47500000000000053,0.47500000000000053,1.0,0.6165665045213194,0.23641225002368121,0.4422303560457266,0.8044323121916699,0.47500000000000053,1.0,0.47500000000000053,1.0,0.47500000000000053,1.0,0.32422381670495426,0.8517110687851828
0.5,0.5,1.0,0.6224593312018546,0.2350037122015945,0.46211715726000974,0.7864477329659274,0.5,1.0,0.5,1.0,0.5,1.0,0.34571400982514394,0.8673010355700583
0.5250000000000004,0.5250000000000004,1.0,0.6283161882953663,0.23353495582134812,0.4815497983643082,0.7681097916952941,0.5250000000000004,1.0,0.5250000000000004,1.0,0.5250000000000004,1.0,0.367588868483457,0.8824780080964931
0.5500000000000007,0.5500000000000007,1.0,0.6341355910108009,0.23200764322418316,0.5005202111902357,0.7494795181900819,0.5500000000000007,1.0,0.5500000000000007,1.0,0.5500000000000007,1.0,0.3898379102299692,0.8972299174362757
0.5750000000000002,0.5750000000000002,1.0,0.6399160967377342,0.230423485873677,0.5190218338982222,0.7306163359369262,0.5750000000000002,1.0,0.5750000000000002,1.0,0.5750000000000002,1.0,0.41245036435527066,0.9115457800169242
0.6000000000000005,0.6000000000000005,1.0,0.6456563062257956,0.22878424045665724,0.5370495669980356,0.7115777625872224,0.6000000000000005,1.0,0.6000000000000005,1.0,0.6000000000000005,1.0,0.4354151992308153,0.9254157120466004
0.625,0.625,1.0,0.6513548646660542,0.2270917049419204,0.5545997223493823,0.6924191479699882,0.625,1.0,0.625,1.0,0.625,1.0,0.4587211499576005,0.9388309397606225
0.6500000000000004,0.6500000000000004,1.0,0.6570104626734988,0.22534771461105382,0.5716699660851174,0.6731934498762406,0.6500000000000004,1.0,0.6500000000000004,1.0,0.6500000000000004,1.0,0.4823567462188463,0.9517838055089829
0.6750000000000007,0.6750000000000007,1.0,0.6626218371700827,0.2235541380754271,0.5882592563981057,0.6539510472619476,0.6750000000000007,1.0,0.6750000000000007,1.0,0.6750000000000007,1.0,0.5063103402330503,0.9642677697254172
0.7000000000000002,0.7000000000000002,1.0,0.6681877721681662,0.22171287329310904,0.6043677771171636,0.6347395899824584,0.7000000000000002,1.0,0.7000000000000002,1.0,0.7000000000000002,1.0,0.5305701347051169,0.976277408839108
0.7250000000000005,0.7250000000000005,1.0,0.6737070994545216,0.21982584359909696,0.6199968679693744,0.6156038837081661,0.7250000000000005,1.0,0.7250000000000005,1.0,0.7250000000000005,1.0,0.5551242106750056,0.9878084092100714
0.75,0.75,1.0,0.679178699175393,0.21789499376181404,0.6351489523872873,0.5965858082813315,0.75,1.0,0.75,1.0,0.75,1.0,0.5799605551656203,0.9988575571884759
0.7750000000000004,0.7750000000000004,1.0,0.6846015003234308,0.21592228607833838,0.6498274636719206,0.5777242674577188,0.7750000000000004,1.0,0.7750000000000004,1.0,0.7750000000000004,1.0,0.6050670885344293,1.009422725416556
0.8000000000000007,0.8000000000000007,1.0,0.6899744811276126,0.21390969652029435,0.6640367702678494,0.5590551677322435,0.8000000000000007,1.0,0.8000000000000007,1.0,0.8000000000000007,1.0,0.6304316914364488,1.0195028555089927
0.8250000000000002,0.8250000000000002,1.0,0.6952966693475654,0.2118592109417477,0.6777821008468297,0.540611423771658,0.8250000000000002,1.0,0.8250000000000002,1.0,0.8250000000000002,1.0,0.6560422313098786,1.029097937263895
0.8500000000000005,0.8500000000000005,1.0,0.7005671424739731,0.20977282135982497,0.6910694698329308,0.5224229878648319,0.8500000000000005,1.0,0.8500000000000005,1.0,0.8500000000000005,1.0,0.6818865882996434,1.038208984571531
0.875,0.875,1.0,0.7057850278370112,0.2076525223181205,0.703905603936621,0.5045169007466208,0.875,1.0,0.875,1.0,0.875,1.0,0.7079526805384551,1.0468380082015507
0.9000000000000004,0.9000000000000004,1.0,0.710949502625004,0.20550030734226343,0.7162978701990246,0.4869173611483414,0.9000000000000004,1.0,0.9000000000000004,1.0,0.9000000000000004,1.0,0.7342284887097209,1.0549879856618425
0.9250000000000007,0.9250000000000007,1.0,0.71605979381571,0.20331816549631285,0.7282542059818118,0.4696458114698009,0.9250000000000007,1.0,0.9250000000000007,1.0,0.9250000000000007,1.0,0.7607020798215479,1.062662828332794
0.9500000000000002,0.9500000000000002,1.0,0.7211151780228631,0.20110807804791758,0.7397830512740043,0.4527210370477238,0.9500000000000002,1.0,0.9500000000000002,1.0,0.9500000000000002,1.0,0.7873616301263604,1.0698673460902945
0.9750000000000005,0.9750000000000005,1.0,0.7261149812607792,0.19887201524943746,0.7508932836251674,0.4361592766066139,0.9750000000000005,1.0,0.9750000000000005,1.0,0.9750000000000005,1.0,0.8141954471260625,1.0766072096383308
