dataset,encoded_feature,attribute,target_corr,abs_target_corr,outlier_rate_iqr,logreg_importance,rf_importance,mutual_info,importance_consensus
nsl_kdd,service_other,service,-0.023836683055498124,0.023836683055498124,0.0,2.1792882058583927,0.0012458615917479265,0.0,0.10055144130405291
nsl_kdd,service_domain,service,0.063172927159247,0.063172927159247,0.0,2.185479623911647,2.8253327600505904e-06,0.00207225584585613,0.0992955139165795
nsl_kdd,dst_host_rerror_rate,dst_host_rerror_rate,0.252562724750822,0.252562724750822,0.0,0.7543175441318275,0.0185541419999913,0.034270003788492875,0.0953753168517335
nsl_kdd,srv_count,srv_count,0.0007707123313903582,0.0007707123313903582,0.09728275106570455,0.5756562046409774,0.013677043583394378,0.06462154562289979,0.09450865020923567
nsl_kdd,protocol_type_udp,protocol_type,-0.21718441777830375,0.21718441777830375,0.0,1.4450372623348455,0.00520879160438731,0.026332850586092693,0.09201453649030762
nsl_kdd,protocol_type_icmp,protocol_type,0.2004546968137331,0.2004546968137331,0.0,0.6998295818871233,0.02105245189727434,0.02305417336029958,0.09183489070243538
nsl_kdd,srv_diff_host_rate,srv_diff_host_rate,-0.11937718243603425,0.11937718243603425,0.0,0.36299195555036545,0.0059611259322345685,0.10209384086815065,0.09002874395285192
nsl_kdd,service_nntp,service,0.05201208163864372,0.05201208163864372,0.0,1.834838379389398,5.309822369963443e-06,0.004348181022928221,0.08491659104216785
nsl_kdd,service_gopher,service,0.06886636738934636,0.06886636738934636,0.0,1.6978887269272704,1.0208081702764452e-05,0.0,0.0762060255366774
nsl_kdd,wrong_fragment,wrong_fragment,0.09590548069944732,0.09590548069944732,0.0,1.2277987174740095,0.003987289337386468,0.011037855829654442,0.07048999931604684
nsl_kdd,dst_host_srv_rerror_rate,dst_host_srv_rerror_rate,0.25343015038465916,0.25343015038465916,0.0,0.1856785728446242,0.010572817005409161,0.06278724757358267,0.06902688184987761
nsl_kdd,service_mtp,service,0.06337790206562809,0.06337790206562809,0.0,1.3952357377613647,5.6023357877058055e-06,0.005987501797039663,0.0661639173910969
nsl_kdd,service_netstat,service,0.05737467507531327,0.05737467507531327,0.0,1.3846633728439643,0.0,0.001671626861721176,0.06311964631959498
nsl_kdd,protocol_type_tcp,protocol_type,0.05312632436235271,0.05312632436235271,0.0,0.8046556996413997,0.009943675011929368,0.008122759445084782,0.06300986095770443
nsl_kdd,service_http_443,service,0.06966281206827359,0.06966281206827359,0.0,1.3497583628679937,7.827464467617872e-06,0.004085335986977023,0.06300115392005737
nsl_kdd,service_finger,service,0.05407738865871312,0.05407738865871312,0.0,1.2719389728523245,0.00020952403389031308,0.006682023597086584,0.061496267548360524
nsl_kdd,service_whois,service,0.07970985655635608,0.07970985655635608,0.0,1.2685861156364224,6.1481571632097105e-06,0.0074485599120832635,0.061348206024692105
nsl_kdd,service_imap4,service,0.0763368935768826,0.0763368935768826,0.0,1.3539833931628242,1.3220191611583134e-05,0.0,0.06078187187681605
nsl_kdd,service_uucp,service,0.08459477910131974,0.08459477910131974,0.0,1.267612955803886,1.336227786018894e-07,0.0046553370976629704,0.059636004701191486
nsl_kdd,hot,hot,-0.013083414309389422,0.013083414309389422,0.0,0.798634774927685,0.007159685315635209,0.010600624031976036,0.05802274818022973
nsl_kdd,service_time,service,0.060592278689142395,0.060592278689142395,0.0,1.219896710340853,5.585048218041865e-05,0.004746681620024562,0.057672918007441655
nsl_kdd,service_link,service,0.06593479877052943,0.06593479877052943,0.0,1.171101367186872,4.047496002183069e-06,0.0070405180564128145,0.0567276587500285
nsl_kdd,service_name,service,0.06424134548887885,0.06424134548887885,0.0,1.1617118055713536,2.3332317829437376e-05,0.005400251855653515,0.05537723106918447
nsl_kdd,service_nnsp,service,0.07598126413728801,0.07598126413728801,0.0,1.1650183308847304,1.0859308298994504e-05,0.0039039461569083667,0.05461121909064908
nsl_kdd,service_ctf,service,0.07180825880276767,0.07180825880276767,0.0,1.126352441998414,2.7666701449889072e-08,0.006585379709207695,0.054441167531184914
nsl_kdd,rerror_rate,rerror_rate,0.2533971110261529,0.2533971110261529,0.0,0.10362394299733543,0.010508881524769975,0.04391850041797185,0.05402207857734892
nsl_kdd,service_X11,service,-0.018500103569881857,0.018500103569881857,0.0,1.144319728391908,4.343494556976099e-05,0.0017141212266065242,0.052457238684137174
nsl_kdd,service_ntp_u,service,-0.03409725418918043,0.03409725418918043,0.0,1.1050810467612873,4.2859950884832724e-05,0.0025841800637596,0.05121091158407595
